conversation_id,n_msgs,text,label,status
DEMO_SYN_RISK_5_0,5,synthetic risk persona n5 sample 0 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_5_0,5,synthetic neutral persona n5 sample 0 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_5_1,5,synthetic risk persona n5 sample 1 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_5_1,5,synthetic neutral persona n5 sample 1 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_5_2,5,synthetic risk persona n5 sample 2 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_5_2,5,synthetic neutral persona n5 sample 2 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_10_0,10,synthetic risk persona n10 sample 0 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_10_0,10,synthetic neutral persona n10 sample 0 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_10_1,10,synthetic risk persona n10 sample 1 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_10_1,10,synthetic neutral persona n10 sample 1 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_10_2,10,synthetic risk persona n10 sample 2 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_10_2,10,synthetic neutral persona n10 sample 2 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_15_0,15,synthetic risk persona n15 sample 0 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_15_0,15,synthetic neutral persona n15 sample 0 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_15_1,15,synthetic risk persona n15 sample 1 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_15_1,15,synthetic neutral persona n15 sample 1 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_15_2,15,synthetic risk persona n15 sample 2 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_15_2,15,synthetic neutral persona n15 sample 2 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_20_0,20,synthetic risk persona n20 sample 0 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_20_0,20,synthetic neutral persona n20 sample 0 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_20_1,20,synthetic risk persona n20 sample 1 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_20_1,20,synthetic neutral persona n20 sample 1 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_20_2,20,synthetic risk persona n20 sample 2 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_20_2,20,synthetic neutral persona n20 sample 2 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_24_0,24,synthetic risk persona n24 sample 0 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_24_0,24,synthetic neutral persona n24 sample 0 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_24_1,24,synthetic risk persona n24 sample 1 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_24_1,24,synthetic neutral persona n24 sample 1 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_24_2,24,synthetic risk persona n24 sample 2 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_24_2,24,synthetic neutral persona n24 sample 2 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_50_0,50,synthetic risk persona n50 sample 0 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_50_0,50,synthetic neutral persona n50 sample 0 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_50_1,50,synthetic risk persona n50 sample 1 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_50_1,50,synthetic neutral persona n50 sample 1 homework playlist drawing community chat safe exchange,0,complete
DEMO_SYN_RISK_50_2,50,synthetic risk persona n50 sample 2 trust secret migration private chat boundary warning,1,complete
DEMO_SYN_SAFE_50_2,50,synthetic neutral persona n50 sample 2 homework playlist drawing community chat safe exchange,0,complete
