experiment_id,timestamp,experiment_type,n_msgs,classifier,f05,f1,precision,recall,std_f05,variant,delta_pp,mode,total,predatory,normal
e5_augmentation_aug_50msgs_20260621_202807,2026-06-21 20:28:07.141,augmentation,50,LinearSVC,0.9521,0.9436,0.9578,0.9298,0.0000,augmentation_aug,-0.4583,,6450,703,5747
e5_augmentation_baseline_50msgs_20260621_202807,2026-06-21 20:28:07.114,augmentation,50,LinearSVC,0.9567,0.9464,0.9636,0.9298,0.0000,augmentation_baseline,-0.4583,,6450,703,5747
e5_augmentation_aug_24msgs_20260621_202805,2026-06-21 20:28:05.293,augmentation,24,LinearSVC,0.9418,0.9212,0.9560,0.8889,0.0000,augmentation_aug,-0.3026,,6450,703,5747
e5_augmentation_baseline_24msgs_20260621_202805,2026-06-21 20:28:05.262,augmentation,24,LinearSVC,0.9448,0.9277,0.9565,0.9006,0.0000,augmentation_baseline,-0.3026,,6450,703,5747
e5_augmentation_aug_20msgs_20260621_202804,2026-06-21 20:28:04.218,augmentation,20,LinearSVC,0.9325,0.9157,0.9441,0.8889,0.0000,augmentation_aug,0.0000,,6450,703,5747
e5_augmentation_baseline_20msgs_20260621_202804,2026-06-21 20:28:04.186,augmentation,20,LinearSVC,0.9325,0.9157,0.9441,0.8889,0.0000,augmentation_baseline,0.0000,,6450,703,5747
e5_augmentation_aug_15msgs_20260621_202803,2026-06-21 20:28:03.245,augmentation,15,LinearSVC,0.9190,0.9075,0.9268,0.8889,0.0000,augmentation_aug,0.1609,,6450,703,5747
e5_augmentation_baseline_15msgs_20260621_202803,2026-06-21 20:28:03.216,augmentation,15,LinearSVC,0.9174,0.9042,0.9264,0.8830,0.0000,augmentation_baseline,0.1609,,6450,703,5747
e5_augmentation_aug_10msgs_20260621_202802,2026-06-21 20:28:02.399,augmentation,10,LinearSVC,0.8816,0.8640,0.8938,0.8363,0.0000,augmentation_aug,0.0000,,6450,703,5747
e5_augmentation_baseline_10msgs_20260621_202802,2026-06-21 20:28:02.299,augmentation,10,LinearSVC,0.8816,0.8640,0.8938,0.8363,0.0000,augmentation_baseline,0.0000,,6450,703,5747
e5_augmentation_aug_5msgs_20260621_202801,2026-06-21 20:28:01.876,augmentation,5,LinearSVC,0.7881,0.7508,0.8151,0.6959,0.0000,augmentation_aug,-0.1747,,6450,703,5747
e5_augmentation_baseline_5msgs_20260621_202801,2026-06-21 20:28:01.778,augmentation,5,LinearSVC,0.7898,0.7492,0.8194,0.6901,0.0000,augmentation_baseline,-0.1747,,6450,703,5747
